---------------------------
f_d = -5000
---------------------------
(-0.128994,0.618954)
(0.89087,-0.0412512)
(-0.0754011,-0.559677)
(-0.453341,-0.607742)
(-0.220896,0.0566239)
(0.905684,-0.479125)
(-0.881443,0.368949)
(-0.0738937,-0.440559)
(-1.083,-0.426998)
(-0.582582,0.51221)
(-0.0822616,-0.38458)
(-0.593885,0.472195)
(0.0485654,0.986027)
(-0.166495,1.43783)
(-0.288642,-0.537975)
(0.510204,-0.742669)
(0.254959,-0.381686)
(-0.0851632,0.120878)
(-0.0611162,-0.351343)
(-0.715102,-0.121693)
(0.310475,0.172078)
(-0.743982,0.132419)
(-0.183317,-0.190452)
(0.958262,0.337182)
(1.13059,-0.520883)
(-0.26371,-0.256208)
(-0.195509,0.865456)
(-0.111433,-1.03386)
(-1.46649,-0.127275)
(0.555419,-1.43137)
(0.519101,-0.427892)
(-1.02463,-0.174652)
(0.0278494,1.43849)
(0.609539,-0.469443)
(-0.841358,0.183556)
(0.454594,0.648508)
(0.675089,-0.750302)
(0.035567,-0.753511)
(0.846214,-0.225749)
(0.202769,0.19348)
(0.864675,-0.156744)
(-1.01622,-0.883034)
(0.78944,-0.520084)
(0.195293,0.230476)
(1.10132,0.0109307)
(-0.0937866,0.203224)
(-0.103999,-0.14036)
(-0.3726,0.205909)
(0.116549,0.49059)
(-0.177325,0.369871)
(0.0516993,-0.692553)
(-0.441247,0.97151)
(0.578762,-0.316242)
(0.149624,-0.207538)
(-0.20096,-0.489906)
(0.189411,-0.587057)
(0.187425,-0.444367)
(0.219277,0.153629)
(-0.383067,1.20252)
(0.697128,0.487303)
(-0.249684,0.444651)
(0.429308,0.26183)
(0.0258915,1.08246)
(-0.822863,0.120154)
(0.0560225,-0.389145)
(-0.0739616,-0.838294)
(0.438115,-0.529113)
(-0.379491,0.204451)
(0.996016,-0.221696)
(0.101603,-0.135506)
(-0.382041,1.25529)
(-0.0809016,-0.482731)
(0.72271,-0.202988)
(-0.581477,-0.0800204)
(0.0612612,0.476433)
(0.0208634,0.890258)
(-0.505242,-0.138539)
(0.0844294,0.0690863)
(-0.0903945,0.511491)
(-0.400898,0.235005)
(0.63137,-0.632476)
(1.25698,-0.281527)
(0.484795,-0.267923)
(-0.17973,0.841626)
(-0.517258,-0.41738)
(0.0920805,0.159526)
(-0.0763419,0.610894)
(0.0414528,0.0208853)
(1.29779,-0.244087)
(0.593521,-0.163116)
(0.0216424,-0.260312)
(0.682924,0.14784)
(-0.317029,-0.0126183)
(-0.260458,0.197178)
(-0.206601,0.939224)
(0.129395,-0.655592)
(0.761844,-0.624205)
(0.108487,-1.18843)
(-0.237015,0.0535812)
(0.108706,-0.0444025)
(-0.617191,0.0869178)
(0.172385,-0.388505)
(-0.692991,0.321446)
(-0.58951,0.0626878)
(0.805012,0.429734)
(0.0886642,-0.444071)
(-0.793725,0.0960668)
(0.788945,-0.60324)
(-0.924613,-0.730668)
(-0.455153,-0.425033)
(0.133737,-0.393745)
(0.195369,-0.192684)
(-0.326263,-0.159263)
(-0.0673686,-0.568453)
(-0.465818,-0.433797)
(0.0855956,0.149653)
(0.0119027,-0.0729264)
(0.368489,0.555796)
(-0.251415,-0.305361)
(0.153213,0.123754)
(0.202037,-0.384467)
(0.616358,-0.243994)
(-0.905335,0.452895)
(-0.0792314,-0.681923)
(0.0861413,0.000369964)
(-0.000100545,-0.393436)
(-0.485066,0.470299)
(-1.36285,0.0550102)
(0.250155,-0.257401)
(-0.735132,-0.196492)
(0.159212,-0.0734457)
(-0.174395,-0.266028)
(-0.0745226,-0.312835)
(0.691535,-0.0658594)
(0.140107,-0.137479)
(-0.252735,1.24664)
(-0.681059,-0.187343)
(0.0200922,-0.16964)
(-0.626216,0.100351)
(-0.673063,-0.326909)
(-0.182916,0.185695)
(-0.259906,-0.554445)
(-1.03752,-0.285663)
(0.613865,-0.220961)
(-0.00651325,0.128797)
(0.494729,0.718321)
(0.0983956,0.407167)
(-0.364132,-0.47294)
(0.289628,-0.0387526)
(0.621728,0.152285)
(-0.798395,-0.131172)
(0.593443,0.442683)
(-0.473529,-1.00841)
(0.53603,-0.000344079)
(-0.548121,-0.564384)
(-0.303583,-0.194181)
(0.101079,-0.478448)
(-0.0124913,-0.984991)
(0.1677,-0.295151)
(-0.0427274,0.474158)
(0.293296,0.813984)
(-1.17237,0.502509)
(-0.165033,-0.691858)
(0.147931,-0.154017)
(-0.600157,-0.832191)
(0.695006,-0.991831)
(-0.127901,-0.658426)
(0.425639,-0.151403)
(0.160848,-0.476243)
(-0.15799,0.577341)
(-0.31704,0.371772)
(-0.264331,0.524296)
(-0.114127,-0.102905)
(0.386494,0.574294)
(0.0321118,-0.169859)
(-0.0462521,0.415018)
(0.0838094,-0.512995)
(-0.625304,-1.19813)
(0.108166,1.03129)
(0.48047,-0.473253)
(0.67283,-0.724829)
(0.166938,0.426146)
(-0.300455,0.22236)
(0.207716,-0.0191491)
(-0.973802,0.531405)
(0.390575,0.270569)
(0.277577,-0.149387)
(-0.542526,0.0447236)
(0.792562,-0.0273569)
(0.643121,0.118987)
(-0.196496,0.89543)
(-0.13734,-0.814344)
(0.403868,-0.663698)
(-0.0683708,0.327644)
(-0.377593,-0.235902)
(0.221327,0.502149)
(-0.516305,-0.561156)
(-0.831513,-0.316448)
(-0.446582,0.153211)
(-0.533619,-0.0244774)
(0.642183,-0.197154)
(-0.331439,0.105256)
(0.0181975,0.163849)
(0.2706,-0.490182)
(-0.0178437,0.154459)
(0.823391,-0.345093)
(0.509108,0.642939)
(0.594897,0.690783)
(0.369889,0.469297)
(-0.100891,-0.116148)
(-0.224118,-0.680707)
(-0.0733284,0.184125)
(0.527898,-0.948608)
(-0.309753,-0.524243)
(0.870772,0.652351)
(0.344284,-0.213663)
(0.0123975,0.571688)
(0.259603,-0.0725059)
(0.710002,-0.824906)
(0.392228,0.43973)
(-0.156372,0.616566)
(1.12571,0.310764)
(-0.0993553,-0.444405)
(0.302611,0.402881)
(0.797005,0.111711)
(-0.329497,-0.0795872)
(-1.59058,1.15371)
(-0.594778,0.321361)
(-0.360552,0.213029)
(1.06906,-0.236445)
(0.0996568,0.123857)
(-0.702811,-0.164241)
(1.04128,0.751686)
(0.274267,-0.144138)
(-0.208168,0.267721)
(-0.416924,0.231693)
(1.06256,0.226547)
(0.908463,-0.703538)
(0.0256252,-0.0528577)
(0.458613,0.0548724)
(0.459421,0.075702)
(-0.218967,-0.0336104)
(0.557168,-1.09222)
(-0.0555914,0.868931)
(0.837526,-0.300007)
(-0.836419,-0.566045)
(-0.342977,0.0826241)
(-0.252429,0.296323)
(0.59499,-0.109532)
(-0.205972,0.203869)
(0.452724,1.10625)
(-0.762223,-1.04484)
(0.2984,-0.312888)
(-0.91666,-0.471139)
(0.0812143,0.239993)
(-0.0668682,-0.703723)
(-0.650864,0.966513)
(-0.203565,-0.227987)
(-0.779665,-0.288383)
(-0.828437,0.544577)
(0.252326,0.0607123)
(-0.330727,-0.573025)
(-0.027992,-0.103757)
(-0.907079,0.192162)
(-0.772176,0.962088)
(0.425905,0.712537)
(0.242737,0.766182)
(-0.684088,-0.270227)
(-0.054275,-0.383734)
(-1.01488,-0.112587)
(-0.454034,-0.077111)
(-0.486481,-0.792537)
(0.839191,0.62321)
(0.126693,0.257514)
(0.492971,-0.9884)
(0.168119,-1.10717)
(-0.558134,-0.569629)
(0.367092,-0.675937)
(0.313942,-0.8519)
(-0.140691,-0.200802)
(0.116471,-0.824649)
(0.000690527,-0.105958)
(-0.235714,0.094865)
(-0.0121255,-0.694339)
(0.588326,0.247175)
(0.386809,-0.818601)
(-0.0573419,1.20429)
(-0.303892,0.116912)
(-0.341342,-0.520824)
(0.121548,1.29705)
(0.223732,-0.491901)
(-1.12397,0.35935)
(-0.648016,0.677496)
(0.570064,-0.796043)
(0.286463,-0.464612)
(-0.547713,-0.215534)
(-0.03726,0.45078)
(-0.188457,-0.024982)
(0.0662754,-0.135426)
(0.132745,0.672373)
(0.468804,-0.289571)
(-0.00386532,0.778745)
(-0.424795,0.343379)
(-0.201598,-0.610482)
(-0.451322,-0.213936)
(-0.248691,-0.326982)
(-0.259481,-0.167422)
(0.423629,-0.784209)
(-0.0649868,0.684381)
(0.705513,-0.152413)
(-0.327161,0.95412)
(0.670852,-0.730141)
