---------------------------
f_d = -5000
---------------------------
(-1.24629,-0.863272)
(0.48297,-0.0943654)
(0.0121135,0.0254264)
(0.0685601,-0.103326)
(0.713905,-1.27833)
(0.141408,0.312474)
(0.0875519,0.261853)
(-0.766386,-0.994412)
(-0.877102,0.453962)
(-0.128886,-0.394493)
(0.279998,-0.28681)
(-0.224015,-0.271192)
(-0.201533,0.519035)
(-0.0395635,0.300702)
(-0.509414,-0.560549)
(0.419586,1.04959)
(0.172114,0.148286)
(-0.281188,-0.59779)
(-0.827578,-0.163253)
(-0.3133,-0.826892)
(0.453196,0.420243)
(-0.782075,0.467972)
(0.176458,0.806698)
(-1.03604,-0.402344)
(0.690196,0.555815)
(-0.274022,-0.527328)
(-0.611364,0.281047)
(0.709454,0.229475)
(0.14272,0.295888)
(-0.123347,-0.0437778)
(0.0130633,-0.396575)
(-0.309863,-0.0895343)
(0.183389,-0.180203)
(0.396828,-0.572586)
(0.189299,-0.16092)
(-0.0295052,-0.496422)
(-0.22017,0.0211745)
(-0.368043,0.0611732)
(-0.0165101,-0.516657)
(0.609844,-0.707753)
(-1.09692,-0.430895)
(-0.802577,-0.248135)
(-0.41082,-0.338492)
(-1.30605,0.119044)
(0.565032,0.778934)
(-0.68504,0.7156)
(0.0638436,0.0119286)
(-0.50664,0.579286)
(-0.592063,-0.560475)
(0.554568,-0.566311)
(0.155079,-0.636041)
(0.176753,-0.0158492)
(0.5029,-0.201228)
(0.173205,0.220432)
(0.0873907,0.225818)
(0.796218,0.614702)
(0.137879,1.11865)
(-0.417877,0.113854)
(0.1696,0.914421)
(0.0256417,1.11378)
(0.141115,-0.540666)
(-0.765897,-0.262682)
(-0.297658,-0.102417)
(-0.37826,-0.848058)
(0.29073,-0.447181)
(0.0177532,-0.202253)
(-0.471549,-0.35937)
(0.0914414,0.631474)
(0.935648,0.571547)
(-0.321184,0.108126)
(-0.318438,-0.250549)
(-0.289513,-0.460556)
(-0.366429,0.0772539)
(0.609753,0.254205)
(-0.297145,-0.257381)
(0.810193,0.321417)
(0.368141,0.290515)
(-0.284006,-0.0860524)
(0.821506,0.300188)
(-0.66968,0.179825)
(0.706919,0.323131)
(-0.338899,0.430619)
(0.0104814,-0.742996)
(-0.357626,-0.320092)
(0.396481,0.126998)
(-0.330697,-0.171215)
(-0.420388,-0.172223)
(0.505108,0.14289)
(-0.000251807,0.217846)
(0.0718205,0.113053)
(-0.018075,0.178249)
(-0.0186113,-0.393182)
(-0.728335,-0.0834737)
(0.3955,0.610839)
(-0.0964172,0.254013)
(-0.2024,-0.017718)
(-0.862538,0.0590102)
(0.176075,-0.22913)
(0.385526,-1.12955)
(0.229038,0.231938)
(0.5874,0.12172)
(-0.129753,-0.611344)
(0.0747778,0.80672)
(0.420903,-0.115855)
(0.35148,-0.725957)
(0.0787831,0.146863)
(-0.494838,-0.878941)
(0.325619,0.263278)
(-0.341657,-0.127859)
(0.558166,-0.44353)
(-0.833457,0.287251)
(0.290307,0.160698)
(0.254681,0.170152)
(0.481538,-0.0497238)
(0.10946,-0.0734312)
(-0.423535,-0.19582)
(0.198001,-1.21852)
(0.417605,-0.381609)
(-0.0453245,-0.311718)
(0.0216848,-0.420325)
(0.473031,0.0161763)
(0.402231,-0.659179)
(-0.294708,0.0798559)
(0.453563,0.366141)
(-0.688994,0.112123)
(-0.228131,0.144568)
(-0.604003,0.504821)
(-0.283173,-1.03312)
(-0.24448,-1.09335)
(0.565554,-0.546566)
(-0.69226,-1.43259)
(-0.860692,0.547732)
