---------------------------
f_d = -5000
---------------------------
(0.47188,0.91435)
(0.779423,0.33866)
(1.05967,-0.295723)
(-0.177089,-0.538006)
(-0.801093,0.883324)
(0.226528,-0.708194)
(1.21549,0.179833)
(-0.328702,0.633266)
(0.0698554,-0.0858367)
(-0.500836,0.125505)
(-0.273763,-0.00858271)
(1.12151,0.360831)
(0.766935,1.2923)
(1.05463,0.56402)
(0.123318,-0.797237)
(0.517038,1.02248)
(0.371737,-0.208181)
(0.18025,0.0992679)
(0.00522875,0.244295)
(0.204184,0.0545727)
(0.0915184,0.29762)
(-0.0234847,-0.322633)
(0.633845,-0.222248)
(-0.626172,-0.883774)
(0.834393,-0.743197)
(-0.24354,0.200891)
(-0.863988,0.0980799)
(0.647552,-0.684601)
(-0.173714,-0.372699)
(1.05015,0.0652571)
(0.580518,0.551088)
(0.648839,-0.0183516)
(1.42141,0.282206)
(0.114002,-0.636759)
(0.313591,-0.60194)
(-0.208416,0.132086)
(0.444303,-0.270627)
(0.100135,0.448431)
(-0.255972,0.7994)
(0.234945,-0.581195)
(-0.300862,-0.230034)
(-0.303564,0.233008)
(-0.469351,-0.456729)
(0.186967,0.0456859)
(0.472515,-0.0568209)
(0.40822,-0.0982485)
(0.206859,0.469674)
(-0.26665,0.571496)
(-0.112193,0.306591)
(0.698299,-0.222208)
(0.253716,-0.574395)
(0.150262,-0.43027)
(1.37466,1.12901)
(0.402672,-1.05476)
(0.432326,-0.467596)
(-0.151259,-0.564988)
(-0.88721,-0.334932)
(0.551422,0.954583)
(0.522873,-0.227528)
(-0.104733,0.241322)
(-0.24178,-0.354406)
(0.0213024,-0.868907)
(-0.489283,-0.167315)
(0.298312,0.636196)
(0.0157732,-0.847668)
(0.0976089,0.18297)
(-0.257055,-0.0583534)
(0.0586542,-0.00956857)
(-0.726668,0.79802)
(-0.261457,0.17941)
(-0.210105,-0.813985)
(-0.329492,0.772881)
(-0.360626,-0.70494)
(-0.339895,-0.0952193)
(-0.169422,-0.322826)
(0.0172769,0.275817)
(-0.535662,0.928312)
(0.48155,0.302595)
(0.506888,0.431699)
(-0.0796448,-0.326109)
(-0.236034,-0.00438213)
(-0.950475,0.702575)
(0.155248,-0.0493857)
(-0.264316,-0.117461)
(-0.125527,-1.40421)
(-0.0628229,-0.700514)
(0.0250063,-0.316291)
(0.123114,-0.309656)
(-1.17016,0.266045)
(-1.32567,-0.0405712)
(-0.572113,0.171601)
(-1.1099,-0.0988269)
(1.21567,0.729925)
(-1.03761,0.546589)
(0.0911859,-0.145784)
(0.48484,0.14767)
(0.7399,-0.577398)
(0.783791,0.0229089)
(0.605573,-0.258041)
(0.118123,-0.101843)
(-0.301627,0.0716119)
(-0.311839,0.179365)
(-0.651895,-0.862651)
(-0.687723,-0.654823)
(-0.866656,-0.158607)
(0.367212,-0.517541)
(-0.292695,-0.289878)
(-0.836543,1.02258)
(-0.37822,-0.773932)
(-1.27625,-0.731234)
(0.00475365,-0.909413)
(-0.566826,-0.796798)
(0.14439,0.294667)
(0.73969,-0.331507)
(-0.59479,-0.574753)
(-0.174351,0.623824)
(-0.244218,0.128968)
(-0.154397,-0.842062)
(0.843543,0.351034)
(0.351147,-0.339324)
(0.136151,-0.290659)
(0.15071,0.32726)
(0.0363952,-0.10795)
(0.0946474,0.0551012)
(-0.538684,-0.0946364)
(-0.298109,-0.163274)
(-0.686328,-0.544145)
(0.319301,0.0118845)
(0.379792,0.834774)
(-0.419813,0.266622)
(-0.516488,-1.01193)
(0.54797,0.154406)
(0.930435,0.738413)
(-0.241776,0.265989)
(0.148102,0.767895)
(-0.0198857,-0.409795)
(-0.601407,0.70705)
(1.20179,0.598677)
(0.283716,-0.911753)
(-0.379988,-0.351287)
(-0.973833,-0.246358)
(-0.840408,0.692914)
(0.383674,0.404117)
(-0.227584,0.54269)
(-0.425468,-1.07569)
(0.504912,0.197177)
(0.919888,0.557566)
(-0.686187,1.04637)
(-0.465528,0.0574007)
(-0.0773357,0.192295)
(0.176317,-0.211438)
(-0.376575,-0.36412)
(0.00162883,0.137242)
(-1.25191,1.1475)
(0.481131,0.70862)
(-0.236386,-0.0532851)
(0.683381,0.323885)
(0.260065,-0.0709755)
(0.246382,0.438438)
(0.117162,-0.555215)
(0.512882,-0.680637)
(-0.0255788,-0.636239)
(0.0348496,0.0554133)
(0.84082,0.69866)
(0.176112,-0.26016)
(0.456271,-0.257152)
(-0.680433,0.324906)
(-0.656647,-0.386802)
(0.0829956,0.168231)
(0.0298133,-0.77085)
(1.06766,-2.02742)
(0.178957,2.563)
(-3.38293,-2.11582)
(-2.86779,0.185302)
(-0.748402,0.658717)
(0.207663,-0.161094)
(-0.937788,-1.03791)
(-0.255296,-0.726599)
(0.30295,0.481475)
(-0.957027,-0.716645)
(0.225493,-0.175514)
(0.575473,1.1379)
(-0.0626661,-0.00495577)
(-0.909368,-0.767053)
(-0.372001,-0.692143)
(-1.13899,-0.763625)
(0.319798,-0.357563)
(-0.272453,0.0630872)
(-0.800759,0.058307)
(-0.0484179,0.279952)
(1.22651,0.383148)
