400
(-0.0329044,-0.00534383)
(0.0661533,0.00913392)
(0.0433365,0.045974)
(0.0584935,0.0468902)
(0.0045459,0.0209422)
(0.0153711,-0.00335741)
(0.0210855,0.0307893)
(-0.0429909,-0.0337734)
(0.0279046,0.0116958)
(-0.00202759,0.0136442)
(0.00990706,0.0142547)
(0.00951975,0.0382228)
(-0.035302,-0.0349382)
(0.00116577,-0.00807531)
(-0.0648725,0.0313806)
(0.00580204,-0.0314611)
(-0.00313176,0.000580717)
(-0.00272643,-0.00387386)
(0.0344716,0.0574947)
(-0.0450522,0.0342666)
(-0.0235645,-0.00136488)
(0.033236,-0.0280856)
(-0.0131179,0.0170494)
(-0.0110144,0.0222126)
(-0.0377849,-0.0305703)
(0.0186577,-0.056079)
(0.0597697,-0.0112269)
(0.0149949,-0.0841058)
(-0.0179285,0.0409193)
(-0.0204156,-0.0367921)
(-0.00354349,-0.00245242)
(0.0393629,-0.0196234)
(0.0285582,0.0112873)
(-0.0478708,-0.00494382)
(0.0388313,-0.0566048)
(-0.0165666,-0.0217444)
(-0.0169461,-0.0237711)
(-0.0251773,0.00505461)
(-0.063211,0.0225155)
(-0.0121986,-0.043259)
(-0.00926077,0.0411694)
(-0.020758,-0.066973)
(-0.0115052,0.00190717)
(0.0264813,-0.0435584)
(-0.0303355,-0.0141488)
(0.0396139,0.00847029)
(-0.0101434,0.0281876)
(0.0189378,0.00388437)
(-0.0222872,-0.0038627)
(0.0320199,0.00909314)
(0.0137003,0.0152354)
(0.0176029,0.013592)
(0.0251247,0.0232394)
(-0.0236482,-0.00948648)
(-0.01536,-0.00837577)
(-0.0121941,0.0232459)
(0.000200232,0.00310483)
(-0.0266851,0.0182616)
(-0.0200377,-0.0393016)
(0.0154876,0.0821936)
(0.0188674,-0.0513839)
(0.0560369,0.0676507)
(-0.0303865,0.0173625)
(-0.0230155,0.00430037)
(-0.0255222,0.0662444)
(-0.0190767,-0.015559)
(0.0321751,0.0155713)
(0.0209457,0.00593629)
(-0.000280827,0.0280388)
(-0.00635299,0.00811019)
(0.00549824,-0.0253457)
(-0.0177429,0.0092324)
(0.00304209,-0.0305215)
(-2.3731e-05,0.0214193)
(0.0213205,0.0202579)
(0.0181635,-0.0495386)
(-0.0185371,0.10902)
(-0.0338802,-0.0434502)
(0.00400588,0.0888917)
(-0.0228515,0.0265785)
(-0.0121185,-0.0213513)
(-0.0336803,-0.0453574)
(0.0325191,0.0232091)
(0.00100288,0.000179743)
(-0.0144535,0.0373124)
(0.010263,0.0260373)
(-0.0388436,-0.00547625)
(-0.0410997,-0.0208002)
(0.0403264,0.0350716)
(-0.000475383,0.00924202)
(0.0236836,-0.0262544)
(-0.00323578,-0.0281064)
(-0.0124989,0.0242687)
(0.0568518,-0.0132052)
(-0.00302252,0.0294228)
(-0.0325956,0.0126732)
(-0.0141676,-0.0162061)
(0.0119116,0.0123378)
(-0.0488231,0.0117921)
(0.0645791,-0.00576559)
(0.00428985,0.000701317)
(0.00685502,0.00440401)
(0.0344506,0.014469)
(-0.0248256,-0.0433938)
(0.026561,0.0472344)
(-0.00522085,-0.0288881)
(-0.0213636,0.0320159)
(0.0258901,0.0216448)
(0.0575158,-0.0209717)
(0.0335765,0.0537115)
(0.0106332,-0.0181135)
(0.0428214,0.0175812)
(0.0130602,-0.0124444)
(0.0262248,-0.040787)
(-0.0423292,-0.00332666)
(-0.0031608,-0.0453795)
(-0.027734,0.0448212)
(0.0243556,0.010098)
(-0.0178273,0.0275904)
(0.0296181,0.0268988)
(0.014533,0.0191393)
(0.0358932,0.0346133)
(-0.0407834,-0.0398215)
(0.0136342,0.0327155)
(0.00381789,0.0235834)
(0.0358469,-0.00162493)
(-0.0304752,-0.00958311)
(0.03933,-0.0101588)
(-0.00771949,-0.00831479)
(0.0352447,-0.0358595)
(0.0416175,0.0112018)
(-0.0273205,-0.0089574)
(0.0313414,-0.0221908)
(-0.0119742,-0.00594177)
(0.0174551,0.00294075)
(-0.0656511,-0.0357707)
(-0.0116225,-0.0246609)
(0.0660571,0.00758367)
(-0.0492088,-0.00605251)
(-0.0148988,0.00929699)
(-0.0338094,0.0117689)
(-0.00068208,-0.0303687)
(0.0253814,-0.0153543)
(0.0219318,-0.0142696)
(0.0611208,-0.0273568)
(0.0758003,0.0277572)
(0.0337046,0.00662579)
(-0.0235768,-0.0453079)
(-0.00656857,9.79477e-05)
(-0.00816058,0.00406451)
(-0.0279565,-0.00518276)
(0.0367576,-0.0437125)
(0.0494876,0.05321)
(-0.0117419,-0.0127091)
(-0.0263176,0.00588142)
(-0.0324906,0.0107095)
(0.0457327,0.0192346)
(-0.0384669,0.0189844)
(0.0107796,0.0154037)
(-0.0378428,-0.0286743)
(-0.0110543,0.0214181)
(0.0226245,0.0218177)
(0.00472326,0.0364127)
(0.016565,-0.01779)
(0.0477987,0.0305642)
(-0.0433382,-0.0107223)
(0.0308963,-0.0202599)
(-0.00332746,0.0237869)
(0.0510379,0.00147681)
(-0.0380488,0.0151145)
(0.0349424,0.00591949)
(-0.0483842,0.0187819)
(-0.0154193,0.00904321)
(-0.00203337,0.0128301)
(-0.00698026,-0.0282474)
(0.00849411,-0.0265297)
(-0.0106058,-0.0335523)
(-0.0167596,0.0230411)
(0.0229356,-0.0499967)
(-0.00507818,-0.0237442)
(0.0139945,-0.0135743)
(-0.053633,-0.00214805)
(-0.0173798,-0.0585599)
(-0.0043754,0.0278926)
(-0.0188954,-0.0303469)
(0.0100406,-0.00587239)
(-0.0157512,0.0476061)
(0.0484338,-0.0172137)
(0.0458241,0.0242432)
(-0.0220861,-0.0333944)
(-0.0151815,-0.0418727)
(-0.0241612,0.0326394)
(0.0275314,-0.0123615)
(0.0325687,-0.0171146)
(-0.0272434,0.00353436)
(-0.0346175,0.0601313)
(0.00541606,0.0086275)
(0.0145376,-0.0064689)
(0.00553201,0.00145037)
(0.0683971,-0.0264734)
(-0.0452157,-0.017389)
(-0.0422281,0.00193606)
(0.0136632,0.0177297)
(-0.00366809,0.00754023)
(0.0139724,0.00969496)
(0.0185666,0.016156)
(0.00513056,-0.0420785)
(0.00581922,0.0188325)
(-0.0205145,0.0313694)
(0.021077,0.0135374)
(-0.00103414,-0.0339882)
(0.0201339,0.00270205)
(0.0514378,-0.0236268)
(-0.00946468,-0.00433692)
(0.00731063,-0.0423599)
(-0.0493802,-0.0333129)
(-0.0296182,-0.0490752)
(-0.0336283,0.00333468)
(-0.0587259,-0.0149332)
(0.0178638,0.00972991)
(-0.00526372,-0.00858786)
(0.0260354,-0.00149371)
(-0.0366304,-0.00545442)
(-0.0240428,-0.0126404)
(-0.0489179,0.00289977)
(-0.0265673,-0.00682394)
(-0.0103938,0.0201797)
(-0.0486958,-0.00466093)
(-0.00335511,-0.0412506)
(0.0178466,-0.00850958)
(-0.0290748,-0.0306812)
(-0.0324808,0.0749341)
(-0.0474301,-0.0062791)
(0.0689885,0.00612813)
(0.0684997,-0.0423965)
(0.00380234,-0.0167425)
(0.0293516,0.0180557)
(-0.0359536,0.00585012)
(0.0477595,-0.00600687)
(-0.0695879,0.00517905)
(0.0531751,0.0632458)
(-0.0140688,0.0617744)
(-0.0347496,-0.0299069)
(-0.0122601,-0.00395135)
(-0.0154328,-0.0459636)
(0.00177509,-0.000639359)
(-0.0281365,0.0143453)
(-0.00310343,-0.0214554)
(0.0337355,0.00029564)
(-0.0413672,-0.0437705)
