_____________________________________________________________
| Handle| Monitor ID| Flags           | CTI  | Size | Address|
| #101  | 0         | 0000000000000001| 140  | 4    | 8584   |
| #102  | 0         | 0000000000000001| 140  | 4    | 8700   |
| #103  | 0         | 0000000000000001| 140  | 4    | 8772   |
| #104  | 0         | 0000000000000001| 140  | 4    | 8864   |
| #105  | 0         | 0000000000000001| 140  | 4    | 8988   |
| #106  | 0         | 0000000000000001| 140  | 4    | 9068   |
| #107  | 0         | 0000000000000001| 140  | 4    | 9192   |
| #108  | 0         | 0000000000000001| 140  | 4    | 9280   |
| #109  | 0         | 0000000000000001| 140  | 4    | 9344   |
| #110  | 0         | 0000000000000001| 140  | 4    | 9384   |
| #111  | 0         | 0000000000000001| 140  | 4    | 9488   |
| #112  | 0         | 0000000000000001| 140  | 4    | 9596   |
| #113  | 0         | 0000000000000001| 140  | 4    | 9676   |
| #114  | 0         | 0000000000000001| 140  | 4    | 9808   |
| #115  | 0         | 0000000000000001| 140  | 4    | 9912   |
| #116  | 0         | 0000000000000001| 140  | 4    | 9972   |
| #117  | 0         | 0000000000000001| 140  | 4    | 10044  |
| #118  | 0         | 0000000000000001| 140  | 4    | 10124  |
| #119  | 0         | 0000000000000001| 140  | 4    | 10224  |
| #120  | 0         | 0000000000000001| 140  | 4    | 10272  |
| #121  | 0         | 0000000000000001| 140  | 4    | 10352  |
| #122  | 0         | 0000000000000001| 140  | 4    | 10460  |
| #123  | 0         | 0000000000000001| 140  | 4    | 10536  |
| #124  | 0         | 0000000000000001| 140  | 4    | 10688  |
| #125  | 0         | 0000000000000001| 140  | 4    | 10812  |
| #126  | 0         | 0000000000000001| 140  | 4    | 10860  |
| #127  | 0         | 0000000000000001| 140  | 4    | 10908  |
| #128  | 0         | 0000000000000001| 140  | 4    | 10956  |
| #129  | 0         | 0000000000000001| 140  | 4    | 11072  |
| #130  | 0         | 0000000000000001| 140  | 4    | 11112  |
| #131  | 0         | 0000000000000001| 140  | 4    | 11196  |
| #132  | 0         | 0000000000000001| 140  | 4    | 11336  |
| #133  | 0         | 0000000000000001| 140  | 4    | 11420  |
| #134  | 0         | 0000000000000001| 140  | 4    | 11572  |
| #135  | 0         | 0000000000000001| 140  | 4    | 11676  |
| #136  | 0         | 0000000000000001| 140  | 4    | 11740  |
| #137  | 0         | 0000000000000001| 140  | 4    | 11800  |
| #138  | 0         | 0000000000000001| 140  | 4    | 11880  |
| #139  | 0         | 0000000000000001| 140  | 4    | 11956  |
| #140  | 0         | 0000000000000001| 140  | 4    | 12036  |
| #141  | 0         | 0000000000000001| 140  | 4    | 12164  |
| #142  | 0         | 0000000000000001| 140  | 4    | 12296  |
| #143  | 0         | 0000000000000001| 140  | 4    | 12420  |
| #144  | 0         | 0000000000000001| 140  | 4    | 12516  |
| #145  | 0         | 0000000000000001| 140  | 4    | 12624  |
| #146  | 0         | 0000000000000001| 140  | 4    | 12716  |
| #147  | 0         | 0000000000000001| 140  | 4    | 12840  |
| #148  | 0         | 0000000000000001| 140  | 4    | 12972  |
| #149  | 0         | 0000000000000001| 140  | 4    | 13020  |
| #150  | 0         | 0000000000000001| 140  | 4    | 13044  |
| #151  | 0         | 0000000000000001| 140  | 4    | 13112  |
| #152  | 0         | 0000000000000001| 140  | 4    | 13184  |
| #153  | 0         | 0000000000000001| 140  | 4    | 13272  |
| #154  | 0         | 0000000000000001| 140  | 4    | 13296  |
| #155  | 0         | 0000000000000001| 140  | 4    | 13320  |
| #156  | 0         | 0000000000000001| 140  | 4    | 13344  |
| #157  | 0         | 0000000000000001| 140  | 4    | 13368  |
| #158  | 0         | 0000000000000001| 140  | 4    | 13416  |
| #159  | 0         | 0000000000000001| 140  | 4    | 13440  |
| #160  | 0         | 0000000000000001| 140  | 4    | 13500  |
| #161  | 0         | 0000000000000001| 140  | 4    | 13636  |
| #162  | 0         | 0000000000000001| 140  | 4    | 13676  |
| #163  | 0         | 0000000000000001| 140  | 4    | 13736  |
| #164  | 0         | 0000000000000001| 140  | 4    | 13776  |
| #165  | 0         | 0000000000000001| 140  | 4    | 13812  |
| #166  | 0         | 0000000000000001| 140  | 4    | 13860  |
| #167  | 0         | 0000000000000001| 140  | 4    | 13896  |
| #168  | 0         | 0000000000000001| 140  | 4    | 13936  |
| #169  | 0         | 0000000000000001| 140  | 4    | 14060  |
| #170  | 0         | 0000000000000001| 140  | 4    | 14092  |
| #171  | 0         | 0000000000000001| 140  | 4    | 14320  |
| #172  | 0         | 0000000000000001| 140  | 4    | 14468  |
| #173  | 0         | 0000000000000001| 140  | 4    | 38756  |
| #174  | 0         | 0000000000000001| 140  | 4    | 101808 |
| #175  | 0         | 0000000000000001| 140  | 4    | 104520 |
| #176  | 0         | 0000000000000001| 140  | 4    | 107536 |
| #177  | 0         | 0000000000000001| 140  | 4    | 110148 |
| #178  | 0         | 0000000000000001| 140  | 4    | 112480 |
| #179  | 0         | 0000000000000001| 140  | 4    | 112688 |
| #180  | 0         | 0000000000000001| 140  | 4    | 114476 |
| #181  | 0         | 0000000000000001| 140  | 4    | 116356 |
| #182  | 0         | 0000000000000001| 140  | 4    | 116408 |
| #183  | 0         | 0000000000000001| 140  | 4    | 116620 |
| #184  | 0         | 0000000000000001| 140  | 4    | 116804 |
| #185  | 0         | 0000000000000001| 140  | 4    | 117028 |
| #186  | 0         | 0000000000000001| 140  | 4    | 117196 |
| #187  | 0         | 0000000000000001| 140  | 4    | 117320 |
| #188  | 0         | 0000000000000001| 140  | 4    | 117404 |
| #189  | 0         | 0000000000000001| 140  | 4    | 117552 |
| #190  | 0         | 0000000000000001| 140  | 4    | 117592 |
| #191  | 0         | 0000000000000001| 140  | 4    | 117620 |
| #192  | 0         | 0000000000000001| 140  | 4    | 117720 |
| #193  | 0         | 0000000000000001| 140  | 4    | 117860 |
| #194  | 0         | 0000000000000001| 140  | 4    | 117984 |
| #195  | 0         | 0000000000000001| 140  | 4    | 118060 |
| #196  | 0         | 0000000000000001| 140  | 4    | 118288 |
| #197  | 0         | 0000000000000001| 140  | 4    | 118408 |
| #198  | 0         | 0000000000000001| 140  | 4    | 118432 |
| #199  | 0         | 0000000000000001| 140  | 4    | 118556 |
| #200  | 0         | 0000000000000001| 140  | 4    | 118664 |
| #201  | 0         | 0000000000000001| 140  | 4    | 118712 |
| #202  | 0         | 0000000000000001| 140  | 4    | 118764 |
| #203  | 0         | 0000000000000001| 140  | 4    | 118792 |
| #204  | 0         | 0000000000000001| 140  | 4    | 118812 |
| #205  | 0         | 0000000000000001| 140  | 4    | 118832 |
| #206  | 0         | 0000000000000001| 140  | 4    | 118856 |
| #207  | 0         | 0000000000000001| 140  | 4    | 118968 |
| #208  | 0         | 0000000000000001| 140  | 4    | 119016 |
| #209  | 0         | 0000000000000001| 140  | 4    | 119060 |
| #210  | 0         | 0000000000000001| 140  | 4    | 119140 |
| #211  | 0         | 0000000000000001| 140  | 4    | 119172 |
| #212  | 0         | 0000000000000001| 140  | 4    | 119204 |
| #213  | 0         | 0000000000000001| 140  | 4    | 119232 |
| #214  | 0         | 0000000000000001| 140  | 4    | 119252 |
| #215  | 0         | 0000000000000001| 140  | 4    | 119304 |
| #216  | 0         | 0000000000000001| 140  | 4    | 119396 |
| #217  | 0         | 0000000000000001| 140  | 4    | 119436 |
| #218  | 0         | 0000000000000001| 140  | 4    | 119476 |
| #219  | 0         | 0000000000000001| 140  | 4    | 119516 |
| #220  | 0         | 0000000000000001| 140  | 4    | 119556 |
| #221  | 0         | 0000000000000001| 186  | 0    | 3072   |
| #222  | 0         | 0000000000000001| 186  | 8    | 3088   |
| #223  | 0         | 0000000000000001| 186  | 21   | 3136   |
| #224  | 0         | 0000000000000001| 186  | 8    | 3236   |
| #225  | 0         | 0000000000000001| 186  | 23   | 3284   |
| #226  | 0         | 0000000000000001| 186  | 21   | 3392   |
| #227  | 0         | 0000000000000001| 186  | 4    | 3492   |
| #228  | 0         | 0000000000000001| 186  | 30   | 3524   |
| #229  | 0         | 0000000000000001| 186  | 4    | 3660   |
| #230  | 0         | 0000000000000001| 186  | 3    | 3692   |
| #231  | 0         | 0000000000000001| 186  | 4    | 3720   |
| #232  | 0         | 0000000000000001| 186  | 7    | 3752   |
| #233  | 0         | 0000000000000001| 186  | 7    | 3796   |
| #234  | 0         | 0000000000000001| 186  | 32   | 3840   |
| #235  | 0         | 0000000000000001| 186  | 12   | 3984   |
| #236  | 0         | 0000000000000001| 186  | 2    | 4048   |
| #237  | 0         | 0000000000000001| 186  | 2    | 4072   |
| #238  | 0         | 0000000000000001| 186  | 5    | 4096   |
| #239  | 0         | 0000000000000001| 186  | 5    | 4132   |
| #240  | 0         | 0000000000000001| 186  | 5    | 4168   |
| #241  | 0         | 0000000000000001| 186  | 5    | 4204   |
| #242  | 0         | 0000000000000001| 186  | 5    | 4240   |
| #243  | 0         | 0000000000000001| 186  | 5    | 4276   |
| #244  | 0         | 0000000000000001| 186  | 5    | 4312   |
| #245  | 0         | 0000000000000001| 186  | 5    | 4348   |
| #246  | 0         | 0000000000000001| 186  | 5    | 4384   |
| #247  | 0         | 0000000000000001| 186  | 5    | 4420   |
| #248  | 0         | 0000000000000001| 186  | 5    | 4456   |
| #249  | 0         | 0000000000000001| 186  | 6    | 4492   |
| #250  | 0         | 0000000000000001| 186  | 10   | 4532   |
| #251  | 0         | 0000000000000001| 186  | 11   | 4588   |
| #252  | 0         | 0000000000000001| 186  | 4    | 4648   |
| #253  | 0         | 0000000000000001| 186  | 2    | 4680   |
| #254  | 0         | 0000000000000001| 186  | 1    | 4704   |
| #255  | 0         | 0000000000000001| 186  | 2    | 4724   |
| #256  | 0         | 0000000000000001| 186  | 1    | 4748   |
| #257  | 0         | 0000000000000001| 186  | 1    | 4768   |
| #258  | 0         | 0000000000000001| 186  | 1    | 4788   |
| #259  | 0         | 0000000000000001| 186  | 1    | 4808   |
| #260  | 0         | 0000000000000001| 186  | 1    | 4828   |
| #261  | 0         | 0000000000000001| 186  | 1    | 4848   |
| #262  | 0         | 0000000000000001| 186  | 18   | 4868   |
| #263  | 0         | 0000000000000001| 186  | 14   | 4956   |
| #264  | 0         | 0000000000000001| 186  | 12   | 5028   |
| #265  | 0         | 0000000000000001| 186  | 31   | 5092   |
| #266  | 0         | 0000000000000001| 186  | 14   | 5232   |
| #267  | 0         | 0000000000000001| 186  | 13   | 5304   |
| #268  | 0         | 0000000000000001| 186  | 4    | 5372   |
| #269  | 0         | 0000000000000001| 186  | 26   | 5404   |
| #270  | 0         | 0000000000000001| 186  | 3    | 5524   |
| #271  | 0         | 0000000000000001| 186  | 3    | 5552   |
| #272  | 0         | 0000000000000001| 186  | 37   | 5580   |
| #273  | 0         | 0000000000000001| 186  | 32   | 5744   |
| #274  | 0         | 0000000000000001| 186  | 45   | 5888   |
| #275  | 0         | 0000000000000001| 186  | 14   | 6084   |
| #276  | 0         | 0000000000000001| 186  | 1    | 6156   |
| #277  | 0         | 0000000000000001| 186  | 39   | 6176   |
| #278  | 0         | 0000000000000001| 186  | 4    | 6348   |
| #279  | 0         | 0000000000000001| 186  | 5    | 6380   |
| #280  | 0         | 0000000000000001| 186  | 3    | 6416   |
| #281  | 0         | 0000000000000001| 186  | 27   | 6444   |
| #282  | 0         | 0000000000000001| 186  | 11   | 6568   |
| #283  | 0         | 0000000000000001| 186  | 18   | 6628   |
| #284  | 0         | 0000000000000001| 186  | 16   | 6716   |
| #285  | 0         | 0000000000000001| 186  | 16   | 6796   |
| #286  | 0         | 0000000000000001| 186  | 14   | 6876   |
| #287  | 0         | 0000000000000001| 186  | 24   | 6948   |
| #288  | 0         | 0000000000000001| 186  | 27   | 7060   |
| #289  | 0         | 0000000000000001| 186  | 5    | 7184   |
| #290  | 0         | 0000000000000001| 186  | 8    | 7220   |
| #291  | 0         | 0000000000000001| 186  | 8    | 7268   |
| #292  | 0         | 0000000000000001| 186  | 6    | 7316   |
| #293  | 0         | 0000000000000001| 186  | 6    | 7356   |
| #294  | 0         | 0000000000000001| 186  | 6    | 7396   |
| #295  | 0         | 0000000000000001| 186  | 6    | 7436   |
| #296  | 0         | 0000000000000001| 186  | 10   | 7476   |
| #297  | 0         | 0000000000000001| 186  | 7    | 7532   |
| #298  | 0         | 0000000000000001| 186  | 8    | 7576   |
| #299  | 0         | 0000000000000001| 186  | 8    | 7624   |
| #300  | 0         | 0000000000000001| 186  | 5    | 7672   |
| #301  | 0         | 0000000000000001| 186  | 5    | 7708   |
| #302  | 0         | 0000000000000001| 186  | 6    | 7744   |
| #303  | 0         | 0000000000000001| 186  | 7    | 7784   |
| #304  | 0         | 0000000000000001| 186  | 9    | 7828   |
| #305  | 0         | 0000000000000001| 186  | 7    | 7880   |
| #306  | 0         | 0000000000000001| 186  | 4    | 7924   |
| #307  | 0         | 0000000000000001| 186  | 3    | 7956   |
| #308  | 0         | 0000000000000001| 186  | 7    | 7984   |
| #309  | 0         | 0000000000000001| 186  | 7    | 8028   |
| #310  | 0         | 0000000000000001| 186  | 8    | 8072   |
| #311  | 0         | 0000000000000001| 186  | 11   | 8120   |
| #312  | 0         | 0000000000000001| 186  | 8    | 8180   |
| #313  | 0         | 0000000000000001| 186  | 8    | 8228   |
| #314  | 0         | 0000000000000001| 186  | 37   | 8276   |
| #315  | 0         | 0000000000000001| 186  | 5    | 8440   |
| #316  | 0         | 0000000000000001| 186  | 5    | 8476   |
| #317  | 0         | 0000000000000001| 186  | 5    | 8512   |
| #318  | 0         | 0000000000000001| 186  | 9    | 8548   |
| #319  | 0         | 0000000000000001| 186  | 25   | 8600   |
| #320  | 0         | 0000000000000001| 186  | 14   | 8716   |
| #321  | 0         | 0000000000000001| 186  | 19   | 8788   |
| #322  | 0         | 0000000000000001| 186  | 27   | 8880   |
| #323  | 0         | 0000000000000001| 186  | 16   | 9004   |
| #324  | 0         | 0000000000000001| 186  | 27   | 9084   |
| #325  | 0         | 0000000000000001| 186  | 18   | 9208   |
| #326  | 0         | 0000000000000001| 186  | 12   | 9296   |
| #327  | 0         | 0000000000000001| 186  | 6    | 9360   |
| #328  | 0         | 0000000000000001| 186  | 22   | 9400   |
| #329  | 0         | 0000000000000001| 186  | 23   | 9504   |
| #330  | 0         | 0000000000000001| 186  | 16   | 9612   |
| #331  | 0         | 0000000000000001| 186  | 29   | 9692   |
| #332  | 0         | 0000000000000001| 186  | 22   | 9824   |
| #333  | 0         | 0000000000000001| 186  | 11   | 9928   |
| #334  | 0         | 0000000000000001| 186  | 14   | 9988   |
| #335  | 0         | 0000000000000001| 186  | 16   | 10060  |
| #336  | 0         | 0000000000000001| 186  | 21   | 10140  |
| #337  | 0         | 0000000000000001| 186  | 8    | 10240  |
| #338  | 0         | 0000000000000001| 186  | 16   | 10288  |
| #339  | 0         | 0000000000000001| 186  | 23   | 10368  |
| #340  | 0         | 0000000000000001| 186  | 15   | 10476  |
